browse_node_code	parent_browse_node_code	node_kind	title_ru	title_en	target_category_code	is_visible	sort_order	availability_scope	icon_key	analytics_key	search_keywords_ru	notes
B.TECH.COMPUTERS.PC_COMPONENTS	B.TECH.COMPUTERS	leaf_link	ПК и комплектующие	PC & components	TECH.PC_COMPONENTS	true	22	ALL	ic_gpu	browse.tech.leaf.pc_components	видеокарта;процессор;материнка;ssd;ddr;бп;корпус;мышь;компьютерная мышь;беспроводная мышь;проводная мышь;mouse;wireless mouse;computer mouse	Leaf link
B.TECH.COMPUTERS.TABLETS_EBOOKS	B.TECH.COMPUTERS	leaf_link	Планшеты и электронные книги	Tablets & e-books	TECH.TABLETS_EBOOKS	true	23	ALL	ic_tablet	browse.tech.leaf.tablets_ebooks	планшет;ipad;таблет;ридер;электронная книга;kindle	Leaf link
B.TECH.TV_AUDIO_VIDEO.TV_VIDEO	B.TECH.TV_AUDIO_VIDEO	leaf_link	ТВ и видео	TV & video	TECH.TV_VIDEO	true	31	ALL	ic_tv	browse.tech.leaf.tv_video	телевизор;smart tv;oled;проектор;приставка tv	Leaf link
B.TECH.TV_AUDIO_VIDEO.AUDIO	B.TECH.TV_AUDIO_VIDEO	leaf_link	Аудио и наушники	Audio & headphones	TECH.AUDIO	true	32	ALL	ic_headphones	browse.tech.leaf.audio	наушники;колонка;саундбар;микрофон;bluetooth	Leaf link
B.TECH.PHOTO.CAMERAS	B.TECH.PHOTO	leaf_link	Фото и видеокамеры	Cameras	TECH.CAMERAS	true	41	ALL	ic_camera	browse.tech.leaf.cameras	фотоаппарат;камера;беззеркалка;зеркалка;gopro;объектив	Leaf link
B.TECH.GAMING.CONSOLES_GAMES	B.TECH.GAMING	leaf_link	Игровые приставки и игры	Consoles & games	TECH.GAMING	true	51	ALL	ic_game	browse.tech.leaf.gaming	ps5;xbox;switch;игра;dualsense	Leaf link
B.TECH.SMART_HOME.SMART_HOME	B.TECH.SMART_HOME	leaf_link	Умный дом и гаджеты	Smart home & gadgets	TECH.SMART_HOME	true	61	ALL	ic_smart_home	browse.tech.leaf.smart_home	умная лампа;розетка;датчик;zigbee;homekit;alexa	Leaf link
B.TECH.PHONES.ACCESSORIES.PROTECTION	B.TECH.PHONES.ACCESSORIES	group	Защита	Protection		true	130	ALL	ic_case	browse.tech.phone_accessories.protection	защита	v1.2 accessory_type browse group
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	B.TECH.PHONES.ACCESSORIES	group	Питание и кабели	Power & connectivity		true	140	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity	питание;кабели	v1.2 accessory_type browse group
B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS	B.TECH.PHONES.ACCESSORIES	group	Держатели и подставки	Mounts & stands		true	150	ALL	ic_holder	browse.tech.phone_accessories.mounts_and_stands	держатели;подставки	v1.2 accessory_type browse group
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	B.TECH.PHONES.ACCESSORIES	group	Переноска, декор и мелочи	Carry, decor & small		true	160	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small	переноска, декор;мелочи	v1.2 accessory_type browse group
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	B.TECH.PHONES.ACCESSORIES	group	Съёмка и игры	Creator & gaming		true	170	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming	съёмка;игры	v1.2 accessory_type browse group
B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE	B.TECH.PHONES.ACCESSORIES	group	Ремонт и уход	Repair & care		true	180	ALL	ic_tools	browse.tech.phone_accessories.repair_and_care	ремонт;уход	v1.2 accessory_type browse group
B.TECH.PHONES.ACCESSORIES.STORAGE_AND_SIM	B.TECH.PHONES.ACCESSORIES	group	Память и SIM	Storage & SIM		true	190	ALL	ic_memory	browse.tech.phone_accessories.storage_and_sim	память;sim	v1.2 accessory_type browse group
B.TECH.PHONES.ACCESSORIES.OTHER	B.TECH.PHONES.ACCESSORIES	group	Другое	Other		true	200	ALL	ic_more	browse.tech.phone_accessories.other	другое	v1.2 accessory_type browse group
B.TECH.PHONES.ACCESSORIES.PROTECTION.CAMERA_PROTECTOR	B.TECH.PHONES.ACCESSORIES.PROTECTION	leaf_link	Защита камеры	camera protector	TECH.PHONE_ACCESSORIES	true	140	ALL	ic_case	browse.tech.phone_accessories.protection.camera_protector	Защита камеры;стекло камеры;кольца камеры;lens protector	v1.2 accessory_type=CAMERA_PROTECTOR; surface=critical_model_or_family; priority=head
B.TECH.PHONES.ACCESSORIES.PROTECTION.CASE	B.TECH.PHONES.ACCESSORIES.PROTECTION	leaf_link	Чехол	case	TECH.PHONE_ACCESSORIES	true	140	ALL	ic_case	browse.tech.phone_accessories.protection.case	Чехол;накладка;бампер;кейс;обложка	v1.2 accessory_type=CASE; surface=critical_model_or_family; priority=head
B.TECH.PHONES.ACCESSORIES.PROTECTION.SCREEN_PROTECTOR	B.TECH.PHONES.ACCESSORIES.PROTECTION	leaf_link	Защитное стекло/плёнка	screen protector	TECH.PHONE_ACCESSORIES	true	140	ALL	ic_case	browse.tech.phone_accessories.protection.screen_protector	Защитное стекло/плёнка;защитное стекло;стекло;пленка;гидрогель;защита экрана	v1.2 accessory_type=SCREEN_PROTECTOR; surface=critical_model_or_family; priority=head
B.TECH.PHONES.ACCESSORIES.PROTECTION.WATERPROOF_POUCH	B.TECH.PHONES.ACCESSORIES.PROTECTION	leaf_link	Водонепроницаемый чехол-пакет	waterproof pouch	TECH.PHONE_ACCESSORIES	true	160	ALL	ic_case	browse.tech.phone_accessories.protection.waterproof_pouch	Водонепроницаемый чехол-пакет;водонепроницаемый чехол;аквабокс;пакет для телефона	v1.2 accessory_type=WATERPROOF_POUCH; surface=high_brand_or_size; priority=common
B.TECH.PHONES.ACCESSORIES.PROTECTION.PHONE_SKIN_DECAL	B.TECH.PHONES.ACCESSORIES.PROTECTION	leaf_link	Скин/наклейка/плёнка на корпус	phone skin decal	TECH.PHONE_ACCESSORIES	true	190	ALL	ic_case	browse.tech.phone_accessories.protection.phone_skin_decal	Скин/наклейка/плёнка на корпус;скин на телефон;наклейка на телефон;пленка на корпус;декоративная наклейка	v1.2 accessory_type=PHONE_SKIN_DECAL; surface=critical_model_or_family; priority=specialized
B.TECH.PHONES.ACCESSORIES.PROTECTION.PRIVACY_CAMERA_COVER	B.TECH.PHONES.ACCESSORIES.PROTECTION	leaf_link	Шторка/наклейка на камеру	privacy camera cover	TECH.PHONE_ACCESSORIES	true	190	ALL	ic_case	browse.tech.phone_accessories.protection.privacy_camera_cover	Шторка/наклейка на камеру;шторка камеры;наклейка на камеру;camera cover	v1.2 accessory_type=PRIVACY_CAMERA_COVER; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY.ADAPTER	B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	leaf_link	Переходник/адаптер	adapter	TECH.PHONE_ACCESSORIES	true	150	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity.adapter	Переходник/адаптер;переходник;адаптер;конвертер;otg	v1.2 accessory_type=ADAPTER; surface=low_or_universal; priority=head
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY.CABLE	B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	leaf_link	Кабель	cable	TECH.PHONE_ACCESSORIES	true	150	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity.cable	Кабель;шнур;провод;зарядный кабель;дата кабель	v1.2 accessory_type=CABLE; surface=low_or_universal; priority=head
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY.CHARGER_WALL	B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	leaf_link	Сетевое зарядное устройство	charger wall	TECH.PHONE_ACCESSORIES	true	150	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity.charger_wall	Сетевое зарядное устройство;зарядка;блок питания;адаптер питания;сетевой адаптер;кубик	v1.2 accessory_type=CHARGER_WALL; surface=low_or_universal; priority=head
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY.POWER_BANK	B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	leaf_link	Внешний аккумулятор	power bank	TECH.PHONE_ACCESSORIES	true	150	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity.power_bank	Внешний аккумулятор;power bank;павербанк;повербанк;портативная зарядка	v1.2 accessory_type=POWER_BANK; surface=medium_contextual; priority=head
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY.WIRELESS_CHARGER	B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	leaf_link	Беспроводная зарядка	wireless charger	TECH.PHONE_ACCESSORIES	true	150	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity.wireless_charger	Беспроводная зарядка;магнитная зарядка;magsafe зарядка;qi зарядка	v1.2 accessory_type=WIRELESS_CHARGER; surface=medium_contextual; priority=head
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY.CAR_CHARGER	B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	leaf_link	Автомобильное зарядное устройство	car charger	TECH.PHONE_ACCESSORIES	true	170	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity.car_charger	Автомобильное зарядное устройство;автозарядка;зарядка в машину;прикуриватель usb;авто зарядное	v1.2 accessory_type=CAR_CHARGER; surface=low_or_universal; priority=common
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY.HUB_DOCK	B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	leaf_link	Хаб/док-станция	hub dock	TECH.PHONE_ACCESSORIES	true	170	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity.hub_dock	Хаб/док-станция;хаб;док станция;hub;dock	v1.2 accessory_type=HUB_DOCK; surface=low_or_universal; priority=common
B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY.CAR_KIT_PHONE	B.TECH.PHONES.ACCESSORIES.POWER_AND_CONNECTIVITY	leaf_link	Автомобильный комплект для телефона	car kit phone	TECH.PHONE_ACCESSORIES	true	200	ALL	ic_charger	browse.tech.phone_accessories.power_and_connectivity.car_kit_phone	Автомобильный комплект для телефона;набор в авто для телефона;автокомплект для смартфона	v1.2 accessory_type=CAR_KIT_PHONE; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS.HOLDER_MOUNT	B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS	leaf_link	Держатель/крепление	holder mount	TECH.PHONE_ACCESSORIES	true	160	ALL	ic_holder	browse.tech.phone_accessories.mounts_and_stands.holder_mount	Держатель/крепление;держатель;крепление;автодержатель;mount;holder	v1.2 accessory_type=HOLDER_MOUNT; surface=medium_contextual; priority=head
B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS.BICYCLE_MOTORCYCLE_MOUNT	B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS	leaf_link	Крепление на велосипед/мото	bicycle motorcycle mount	TECH.PHONE_ACCESSORIES	true	180	ALL	ic_holder	browse.tech.phone_accessories.mounts_and_stands.bicycle_motorcycle_mount	Крепление на велосипед/мото;держатель на велосипед;держатель на мотоцикл;bike phone mount;motorcycle mount	v1.2 accessory_type=BICYCLE_MOTORCYCLE_MOUNT; surface=high_brand_or_size; priority=common
B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS.DESK_STAND	B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS	leaf_link	Настольная подставка	desk stand	TECH.PHONE_ACCESSORIES	true	180	ALL	ic_holder	browse.tech.phone_accessories.mounts_and_stands.desk_stand	Настольная подставка;настольная подставка для телефона;desktop stand;подставка на стол	v1.2 accessory_type=DESK_STAND; surface=medium_contextual; priority=common
B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS.GRIP_STAND	B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS	leaf_link	Кольцо/попсокет/подставка	grip stand	TECH.PHONE_ACCESSORIES	true	180	ALL	ic_holder	browse.tech.phone_accessories.mounts_and_stands.grip_stand	Кольцо/попсокет/подставка;попсокет;кольцо держатель;держатель кольцо;подставка	v1.2 accessory_type=GRIP_STAND; surface=low_or_universal; priority=common
B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS.SELFIE_STICK_TRIPOD	B.TECH.PHONES.ACCESSORIES.MOUNTS_AND_STANDS	leaf_link	Селфи-палка/штатив для телефона	selfie stick tripod	TECH.PHONE_ACCESSORIES	true	180	ALL	ic_holder	browse.tech.phone_accessories.mounts_and_stands.selfie_stick_tripod	Селфи-палка/штатив для телефона;селфи палка;монопод;трипод для телефона;штатив для телефона;selfie stick;phone tripod	v1.2 accessory_type=SELFIE_STICK_TRIPOD; surface=medium_contextual; priority=common
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL.PHONE_ARMBAND	B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	leaf_link	Спортивный наручный держатель	phone armband	TECH.PHONE_ACCESSORIES	true	190	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small.phone_armband	Спортивный наручный держатель;держатель на руку;чехол на руку;armband для телефона;спортивный чехол	v1.2 accessory_type=PHONE_ARMBAND; surface=high_brand_or_size; priority=common
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL.STYLUS	B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	leaf_link	Стилус	stylus	TECH.PHONE_ACCESSORIES	true	190	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small.stylus	Стилус;перо для телефона;touch pen	v1.2 accessory_type=STYLUS; surface=low_or_universal; priority=common
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL.CARD_HOLDER_WALLET	B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	leaf_link	Кардхолдер/кошелёк на телефон	card holder wallet	TECH.PHONE_ACCESSORIES	true	220	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small.card_holder_wallet	Кардхолдер/кошелёк на телефон;кардхолдер на телефон;держатель карт;wallet sticker;кошелек на телефон	v1.2 accessory_type=CARD_HOLDER_WALLET; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL.LANYARD_STRAP	B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	leaf_link	Ремешок/шнурок	lanyard strap	TECH.PHONE_ACCESSORIES	true	220	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small.lanyard_strap	Ремешок/шнурок;ремешок;шнурок;lanyard;strap	v1.2 accessory_type=LANYARD_STRAP; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL.MAGNETIC_PLATE_RING	B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	leaf_link	Магнитная пластина/кольцо MagSafe	magnetic plate ring	TECH.PHONE_ACCESSORIES	true	220	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small.magnetic_plate_ring	Магнитная пластина/кольцо MagSafe;магнитная пластина;magsafe кольцо;магнитное кольцо;magsafe sticker	v1.2 accessory_type=MAGNETIC_PLATE_RING; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL.PHONE_WALLET_POUCH	B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	leaf_link	Сумочка/кобура/поясной чехол	phone wallet pouch	TECH.PHONE_ACCESSORIES	true	220	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small.phone_wallet_pouch	Сумочка/кобура/поясной чехол;сумочка для телефона;кобура для телефона;поясной чехол;phone pouch	v1.2 accessory_type=PHONE_WALLET_POUCH; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL.ANTI_DUST_PLUG	B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	leaf_link	Заглушка разъёма/антипыль	anti dust plug	TECH.PHONE_ACCESSORIES	true	250	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small.anti_dust_plug	Заглушка разъёма/антипыль;заглушка type c;заглушка lightning;антипыль	v1.2 accessory_type=ANTI_DUST_PLUG; surface=low_or_universal; priority=tail_search_first
B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL.PHONE_CHARM_DECOR	B.TECH.PHONES.ACCESSORIES.CARRY_DECOR_AND_SMALL	leaf_link	Брелок/украшение для телефона	phone charm decor	TECH.PHONE_ACCESSORIES	true	250	ALL	ic_case	browse.tech.phone_accessories.carry_decor_and_small.phone_charm_decor	Брелок/украшение для телефона;брелок для телефона;phone charm;украшение на телефон	v1.2 accessory_type=PHONE_CHARM_DECOR; surface=low_or_universal; priority=tail_search_first
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING.GAME_TRIGGER	B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	leaf_link	Игровые триггеры/курки	game trigger	TECH.PHONE_ACCESSORIES	true	230	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming.game_trigger	Игровые триггеры/курки;триггеры для телефона;курки pubg;game trigger	v1.2 accessory_type=GAME_TRIGGER; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING.MOBILE_GAME_CONTROLLER	B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	leaf_link	Геймпад/контроллер для телефона	mobile game controller	TECH.PHONE_ACCESSORIES	true	230	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming.mobile_game_controller	Геймпад/контроллер для телефона;геймпад для телефона;mobile controller;gamepad phone	v1.2 accessory_type=MOBILE_GAME_CONTROLLER; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING.PHONE_CAMERA_ACCESSORY	B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	leaf_link	Фото/видео аксессуар для телефона	phone camera accessory	TECH.PHONE_ACCESSORIES	true	230	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming.phone_camera_accessory	Фото/видео аксессуар для телефона;микрофон для телефона;объектив;свет;видеориг;клетка для телефона	v1.2 accessory_type=PHONE_CAMERA_ACCESSORY; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING.PHONE_COOLER	B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	leaf_link	Охладитель/кулер для телефона	phone cooler	TECH.PHONE_ACCESSORIES	true	230	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming.phone_cooler	Охладитель/кулер для телефона;кулер для телефона;охлаждение смартфона;радиатор для телефона;phone cooler	v1.2 accessory_type=PHONE_COOLER; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING.PHONE_GAMING_ACCESSORY	B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	leaf_link	Игровой аксессуар для телефона	phone gaming accessory	TECH.PHONE_ACCESSORIES	true	230	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming.phone_gaming_accessory	Игровой аксессуар для телефона;геймпад для телефона;триггеры pubg;курки для телефона;охлаждение для телефона	v1.2 accessory_type=PHONE_GAMING_ACCESSORY; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING.REMOTE_SHUTTER	B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	leaf_link	Пульт/кнопка дистанционной съёмки	remote shutter	TECH.PHONE_ACCESSORIES	true	230	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming.remote_shutter	Пульт/кнопка дистанционной съёмки;bluetooth кнопка;пульт для фото;кнопка селфи;remote shutter	v1.2 accessory_type=REMOTE_SHUTTER; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING.RING_LIGHT	B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	leaf_link	Свет/кольцевая лампа для телефона	ring light	TECH.PHONE_ACCESSORIES	true	230	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming.ring_light	Свет/кольцевая лампа для телефона;кольцевая лампа;свет для телефона;ring light;лампа для блогера	v1.2 accessory_type=RING_LIGHT; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING.CAMERA_LENS	B.TECH.PHONES.ACCESSORIES.CREATOR_AND_GAMING	leaf_link	Съёмная линза/объектив	camera lens	TECH.PHONE_ACCESSORIES	true	260	ALL	ic_game	browse.tech.phone_accessories.creator_and_gaming.camera_lens	Съёмная линза/объектив;объектив для телефона;линза для телефона;clip lens	v1.2 accessory_type=CAMERA_LENS; surface=low_or_universal; priority=tail_search_first
B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE.PHONE_REPAIR_PART	B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE	leaf_link	Запчасть для телефона	phone repair part	TECH.PHONE_ACCESSORIES	true	210	ALL	ic_tools	browse.tech.phone_accessories.repair_and_care.phone_repair_part	Запчасть для телефона;аккумулятор;дисплей;экран;шлейф;корпус;задняя крышка	v1.2 accessory_type=PHONE_REPAIR_PART; surface=critical_model_or_family; priority=common
B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE.CLEANING_KIT	B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE	leaf_link	Набор для чистки	cleaning kit	TECH.PHONE_ACCESSORIES	true	240	ALL	ic_tools	browse.tech.phone_accessories.repair_and_care.cleaning_kit	Набор для чистки;салфетки;чистящий набор;cleaning kit	v1.2 accessory_type=CLEANING_KIT; surface=low_or_universal; priority=specialized
B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE.REPAIR_CONSUMABLE	B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE	leaf_link	Расходники для ремонта	repair consumable	TECH.PHONE_ACCESSORIES	true	270	ALL	ic_tools	browse.tech.phone_accessories.repair_and_care.repair_consumable	Расходники для ремонта;клей для дисплея;двусторонний скотч;герметик для телефона;проклейка дисплея	v1.2 accessory_type=REPAIR_CONSUMABLE; surface=low_or_universal; priority=tail_search_first
B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE.REPAIR_TOOL_KIT	B.TECH.PHONES.ACCESSORIES.REPAIR_AND_CARE	leaf_link	Инструменты для ремонта телефона	repair tool kit	TECH.PHONE_ACCESSORIES	true	270	ALL	ic_tools	browse.tech.phone_accessories.repair_and_care.repair_tool_kit	Инструменты для ремонта телефона;набор отверток для телефона;ремкомплект;инструмент для ремонта телефона	v1.2 accessory_type=REPAIR_TOOL_KIT; surface=low_or_universal; priority=tail_search_first
B.TECH.PHONES.ACCESSORIES.STORAGE_AND_SIM.MEMORY_CARD	B.TECH.PHONES.ACCESSORIES.STORAGE_AND_SIM	leaf_link	Карта памяти	memory card	TECH.PHONE_ACCESSORIES	true	220	ALL	ic_memory	browse.tech.phone_accessories.storage_and_sim.memory_card	Карта памяти;microSD;флешка для телефона	v1.2 accessory_type=MEMORY_CARD; surface=low_or_universal; priority=common
B.TECH.PHONES.ACCESSORIES.STORAGE_AND_SIM.SIM_ACCESSORY	B.TECH.PHONES.ACCESSORIES.STORAGE_AND_SIM	leaf_link	SIM-аксессуар	sim accessory	TECH.PHONE_ACCESSORIES	true	220	ALL	ic_memory	browse.tech.phone_accessories.storage_and_sim.sim_accessory	SIM-аксессуар;скрепка sim;sim adapter;адаптер sim;лоток sim	v1.2 accessory_type=SIM_ACCESSORY; surface=low_or_universal; priority=common
B.TECH.PHONES.ACCESSORIES.STORAGE_AND_SIM.USB_FLASH_DRIVE_PHONE	B.TECH.PHONES.ACCESSORIES.STORAGE_AND_SIM	leaf_link	Флеш-накопитель для телефона	usb flash drive phone	TECH.PHONE_ACCESSORIES	true	220	ALL	ic_memory	browse.tech.phone_accessories.storage_and_sim.usb_flash_drive_phone	Флеш-накопитель для телефона;флешка для телефона;usb c флешка;lightning флешка;otg флешка	v1.2 accessory_type=USB_FLASH_DRIVE_PHONE; surface=low_or_universal; priority=common
B.TECH.PHONES.ACCESSORIES.OTHER.BUNDLE_KIT	B.TECH.PHONES.ACCESSORIES.OTHER	leaf_link	Комплект аксессуаров	bundle kit	TECH.PHONE_ACCESSORIES	true	290	ALL	ic_more	browse.tech.phone_accessories.other.bundle_kit	Комплект аксессуаров;комплект;набор аксессуаров;kit	v1.2 accessory_type=BUNDLE_KIT; surface=low_or_universal; priority=tail_search_first
